Node	Occurrences	Present in network(s)	Cited in paper(s)
H5N4S1	3	[9606;Mammary Gland, 9606;Spleen, 9913;Blood]	[10.1006/bbrc.1999.0176, 10.1093/glycob/11.10.791, 10.1038/s41598-018-20331-2, 10.1080/07328309508005379, 10.1021/acs.analchem.8b01051, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1093/glycob/8.11.1053, 10.1016/s0021-9258(18)50696-7, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1093/oxfordjournals.jbchem.a124102, 10.1021/pr500238v, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1016/s0021-9258(18)82165-2, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1074/mcp.M114.047381, 10.1093/glycob/11.7.523, 10.1111/j.1432-1033.1996.0076n.x, 10.1042/bj3330749, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1995.tb20647.x, 10.1016/s0021-9258(18)34130-9, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1016/j.isci.2021.102323, 10.1074/mcp.M114.039537, 10.1073/pnas.91.12.5602, 10.1074/jbc.M102150200, 10.1093/oxfordjournals.jbchem.a133133, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/pr400196s, 10.1042/bj2720533, 10.1111/j.1432-1033.1992.tb17362.x, 10.1093/glycob/10.9.901, 10.1074/mcp.O114.046748, 10.1002/prca.201800061, 10.1021/pr4012393, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1002/elps.1150191113, 10.4049/jimmunol.173.11.6831, 10.1021/pr900956x, 10.1021/ac9801059, 10.1016/0014-5793(94)00547-8, 10.1016/j.jchromb.2008.05.006, 10.1093/glycob/10.3.231, 10.1016/s0021-9258(19)30077-8, 10.1111/j.1432-1033.1993.tb18200.x, 10.1016/0014-5793(95)00441-b, 10.1074/mcp.RA120.002295, 10.1271/bbb.80598, 10.1002/pmic.201300270, 10.1006/prep.2001.1501, 10.1046/j.1432-1327.2001.01985.x, 10.1007/s00216-014-8226-5, 10.1074/jbc.M504528200, 10.1093/oxfordjournals.jbchem.a133554, 10.1021/ac900231w, 10.1093/glycob/4.5.617, 10.1074/jbc.270.41.24116, 10.1016/j.chom.2020.08.004, 10.1006/abio.1995.1201, 10.1093/glycob/4.5.633, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1007/bf00731362, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1159/000024447, 10.1074/jbc.M004298200, 10.1002/pmic.201400038, 10.1021/bi00217a006, 10.1042/bj2850275, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1093/glycob/9.3.227, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.3.251, 10.1006/abbi.1994.1216, 10.1016/s0021-9258(19)81354-6, 10.1111/j.1432-1033.1990.tb19332.x, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1093/abbs/gmt110, 10.1111/j.1432-1033.1988.tb13966.x, 10.1021/ac402338u, 10.1006/abio.1994.1374]
H6N5F1G2	1	[10090;Blood Serum]	[10.18632/oncotarget.26005]
H6N4F1	3	[10116;Ovary, 9913;Kidney, 9430;Ovary]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1016/s0021-9258(19)50338-6, 10.1006/abbi.1993.1595, 10.1046/j.1432-1327.1999.00766.x, 10.1016/0008-6215(90)84171-p, 10.1021/pr500238v, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/cwaa052, 10.1016/0003-9861(82)90550-1, 10.1021/acs.analchem.8b01137, 10.1016/0161-5890(91)90027-h, 10.1016/s0008-6215(99)00254-2, 10.1016/s0021-9258(18)52290-0, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.1016/0161-5890(90)90103-7, 10.18632/oncotarget.26005, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1016/0161-5890(93)90145-2]
H6N5F3S1	1	[9606;Colon]	[10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1074/mcp.M112.024018, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1016/j.jaci.2014.02.025, 10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2]
H6N5F3S2	1	[9031;Colon]	[10.1371/journal.ppat.1009232, 10.1038/s41598-018-20331-2]
H4N3S2	1	[9606;Blood Serum]	[10.1620/tjem.166.407]
H8N6F1	6	[10116;Ovary, 9606;Amnion, 9823;Seminal Fluid, 9823;Zona Pellucida, 9606;Kidney, 9430;Ovary]	[10.1006/abbi.1993.1595, 10.1074/jbc.M307132200, 10.1016/0003-9861(82)90550-1]
H5N5F1S1	1	[9606;Mammary Gland]	[10.1016/j.jchromb.2008.05.006, 10.1046/j.1432-1327.1999.00766.x, 10.1038/s41598-018-20331-2, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1002/pmic.201300270, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1073/pnas.1320544111, 10.1074/mcp.RA119.001607, 10.1074/jbc.M504528200, 10.1021/pr400714w, 10.1016/j.euprot.2014.11.002, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1006/abio.1995.1201, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1023/a:1018506208616, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/cwh031, 10.1111/j.1432-1033.1997.00334.x, 10.7150/thno.65398, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1074/mcp.M114.039537, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.9.901, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1021/pr500575r, 10.1016/s0021-9258(18)43451-5, 10.4049/jimmunol.173.11.6831]
H6N6F1S3	2	[10090;Kidney, 9606;Placenta]	[10.1093/glycob/cwaa101, 10.1111/j.1432-1033.1992.tb17362.x, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1021/acs.analchem.0c01794, 10.1038/s41598-018-20331-2]
H5N5F1S3	2	[9606;Milk, 8717;Venom]	[10.1002/pmic.201300270]
H5N4F2G2	1	[9606;Urine]	[10.1074/mcp.M110.000430]
H7N6S1	1	[9606;Ovary]	[10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1007/bf00731362, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1038/s41598-018-20331-2, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1002/elps.1150191113, 10.1074/jbc.M101380200, 10.1016/j.isci.2021.102323]
H3N5S1	2	[9606;Pituitary Gland, 9606;Amniotic Fluid]	[10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1016/j.jprot.2021.104148]
H5N7F1	1	[9823;Zona Pellucida]	[10.1021/pr500238v]
H5N2	1	[10090;Submandibular Gland]	[10.1007/bf00731872, 10.1007/bf00731134, 10.1093/glycob/11.10.791, 10.1006/abbi.1994.1055, 10.1271/bbb1961.54.3259, 10.1093/glycob/10.8.837, 10.1007/bf00731292, 10.1007/bf00731153, 10.1016/S0021-9258(19)50314-3, 10.1006/abio.2000.4737, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/jbc.M100573200, 10.1021/acs.analchem.8b01051, 10.1023/a:1006999718552, 10.1515/bchm3.1995.376.9.531, 10.1016/0003-9861(91)90144-8, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.3390/pharmaceutics13111747, 10.1093/glycob/cwaa101, 10.1093/oxfordjournals.jbchem.a022707, 10.1073/pnas.96.8.4692, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1016/S0008-6215(00)80944-1, 10.1093/glycob/5.2.227, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1021/bi00241a008, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1104/pp.119.2.725, 10.1093/glycob/11.4.261, 10.1016/j.jprot.2014.03.040, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1093/glycob/cwg023, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/bi00145a013, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1046/j.1432-1327.1999.00859.x, 10.1111/j.1432-1033.1996.0076n.x, 10.1074/jbc.M307132200, 10.1093/glycob/7.1.67, 10.1016/0008-6215(93)84261-4, 10.1095/biolreprod43.1.130, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1093/glycob/10.6.551, 10.1016/0008-6215(94)84015-6, 10.1093/glycob/9.8.823, 10.1007/bf01321117, 10.1007/bf01189081, 10.1093/glycob/10.9.901, 10.1016/s0021-9258(18)90588-0, 10.1016/s0304-4165(00)00128-8, 10.1016/0003-2697(84)90342-7, 10.1074/jbc.272.14.9062, 10.1016/s0021-9258(19)46950-0, 10.1074/mcp.O114.046748, 10.1093/oxfordjournals.jbchem.a022526, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1093/glycob/8.7.663, 10.1016/s0021-9258(18)52295-x, 10.1007/bf00731639, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1016/j.jchromb.2008.05.006, 10.1093/glycob/9.1.21, 10.1271/bbb.59.507, 10.1006/abbi.1995.1255, 10.1093/glycob/cwaa052, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/10.9.941, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1111/j.1432-1033.1996.0448h.x, 10.1021/ac015618l, 10.1271/bbb.80598, 10.1016/s0021-9258(19)67629-5, 10.1093/glycob/11.3.195, 10.1074/jbc.M009361200, 10.1006/abio.2001.5199, 10.1021/pr500414q, 10.1006/prep.2001.1501, 10.1093/glycob/9.5.443, 10.1093/glycob/3.4.365, 10.1021/bi00475a024, 10.1046/j.1432-1327.2001.01985.x, 10.1021/bi00210a019, 10.1073/pnas.1320544111, 10.1046/j.1432-1033.2002.03111.x, 10.1016/s0021-9258(19)69207-0, 10.1007/s13361-013-0823-6, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1021/ac900231w, 10.1074/jbc.M511023200, 10.1074/jbc.270.41.24116, 10.1271/bbb.63.35, 10.1046/j.1432-1033.2002.03244.x, 10.1016/j.chom.2020.08.004, 10.1016/0021-9673(90)85022-n, 10.1093/oxfordjournals.jbchem.a123767, 10.1016/s0021-9258(19)38336-x, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/7.5.635, 10.1016/S0021-9258(17)44262-1, 10.1007/s10719-006-6693-4, 10.1016/j.jaci.2014.02.025, 10.1271/bbb.56.215, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/6.6.611, 10.1111/j.1432-1033.1993.tb17901.x, 10.1093/oxfordjournals.jbchem.a003169, 10.1007/bf00702201, 10.1111/j.1432-1033.1990.tb19122.x, 10.1021/bi00217a006, 10.1111/j.1432-1033.1986.tb09867.x, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1985.tb09161.x, 10.1084/jem.20142182, 10.1006/abbi.1993.1595, 10.1093/glycob/10.3.251, 10.1016/0042-6822(90)90095-9, 10.1002/rcm.463, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1006/abbi.2001.2421, 10.1271/bbb.60.1123, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1016/0161-5890(91)90027-h, 10.1093/oxfordjournals.jbchem.a022033, 10.1007/s00425-003-1099-z, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1016/s0166-6851(00)00310-8, 10.1016/j.bbrc.2003.10.094, 10.1021/bi002313c, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1021/ac402338u, 10.1093/glycob/cwh105]
H3N6F2	1	[9606;Blood Serum]	[10.1126/science.abb9983, 10.1084/jem.20142182, 10.1093/glycob/3.6.597, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/bi035278t, 10.1016/0014-5793(92)81512-k, 10.1006/abio.2001.5199, 10.1046/j.1432-1327.1999.00105.x, 10.1111/j.1432-1033.1995.0805m.x, 10.1021/acs.analchem.8b01137]
H3N6F1	1	[9606;Kidney]	[10.1046/j.1432-1327.1999.00766.x, 10.1016/0167-4889(90)90235-6, 10.1042/bj3160427, 10.1093/glycob/10.9.941, 10.1093/oxfordjournals.jbchem.a124273, 10.1074/mcp.RA120.002295, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1111/j.1432-1033.1996.0448h.x, 10.1016/S0021-9258(18)54122-3, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1021/acs.analchem.1c00893, 10.2307/3283717, 10.1006/bbrc.1995.1716, 10.1006/abio.2001.5199, 10.1093/glycob/cwaa042, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1093/glycob/9.5.443, 10.1021/bi035278t, 10.1111/j.1432-1033.1995.0805m.x, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1046/j.1432-1033.2002.03111.x, 10.1093/glycob/1.2.173, 10.1126/science.abb9983, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/bi00067a029, 10.1046/j.1432-1327.1999.00105.x]
H5N4	1	[9606;Retina]	[10.1016/0009-8981(94)90115-5, 10.1016/s0021-9258(19)50338-6, 10.1093/glycob/11.10.791, 10.1007/bf00731292, 10.1111/j.1432-1033.1990.tb19409.x, 10.1021/acs.analchem.8b01051, 10.1016/0014-5793(95)00034-7, 10.1073/pnas.86.20.7819, 10.1016/0003-9861(91)90144-8, 10.1016/S0022-2275(20)32568-2, 10.1038/s41467-019-09222-w, 10.1016/s0021-9258(18)50696-7, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1016/S0008-6215(00)80944-1, 10.1023/a:1006989910120, 10.1111/j.1432-1033.1995.0805m.x, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1016/s0021-9258(18)68975-6, 10.1021/bi00241a008, 10.1093/glycob/5.3.281, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1007/bf01053197, 10.1038/nmeth.1392, 10.1002/elps.11501401205, 10.1016/0161-5890(90)90103-7, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1023/a:1022528829799, 10.1007/bf00731216, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1006/abio.1995.1200, 10.1021/bi00145a013, 10.1021/ac4009995, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1111/j.1432-1033.1996.0076n.x, 10.1042/bj3330749, 10.1023/a:1019640312730, 10.1093/oxfordjournals.jbchem.a124273, 10.1093/glycob/7.1.67, 10.1016/0014-5793(80)80850-7, 10.1042/ba19990105, 10.1016/s0021-9258(18)34130-9, 10.1021/acs.jproteome.0c00702, 10.1016/j.isci.2021.102323, 10.1074/mcp.M111.013649, 10.1074/mcp.M114.039537, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1073/pnas.91.12.5602, 10.1093/oxfordjournals.jbchem.a133133, 10.1021/pr400196s, 10.1042/bj2720533, 10.1007/BF02778058, 10.1016/s0021-9258(18)90588-0, 10.1016/0003-2697(84)90342-7, 10.1006/abio.1993.1283, 10.1074/mcp.O114.046748, 10.1016/s0008-6215(99)00254-2, 10.1016/j.talanta.2020.121495, 10.1016/0003-2697(90)90676-z, 10.1021/pr500575r, 10.1002/j.1460-2075.1985.tb03991.x, 10.1002/elps.1150191113, 10.4049/jimmunol.173.11.6831, 10.1021/pr900956x, 10.1021/ac9801059, 10.1016/0014-5793(94)00547-8, 10.1046/j.1432-1327.1999.00105.x, 10.1016/j.jchromb.2008.05.006, 10.1111/j.1432-1033.1992.tb16776.x, 10.1093/glycob/10.3.231, 10.1021/bi00464a020, 10.1006/abbi.1995.1255, 10.1023/B:GLYC.0000038293.37376.9f, 10.1016/0305-0491(93)90056-b, 10.1016/s0021-9258(19)30077-8, 10.1016/s0021-9258(19)38919-7, 10.1074/jbc.M002693200, 10.1111/j.1432-1033.1993.tb18200.x, 10.1074/mcp.RA120.002295, 10.1093/glycob/10.4.421, 10.1016/s0021-9258(19)68868-x, 10.1271/bbb.80598, 10.1016/0161-5890(93)90145-2, 10.1006/abio.2001.5199, 10.1021/pr5005482, 10.1006/prep.2001.1501, 10.1006/abbi.1993.1284, 10.1093/glycob/9.5.443, 10.1021/bi00617a021, 10.1021/bi00475a024, 10.1046/j.1432-1327.2001.01985.x, 10.1021/bi00210a019, 10.1007/s00216-014-8226-5, 10.1016/s0021-9258(19)69207-0, 10.1074/jbc.M504528200, 10.1021/pr400714w, 10.1021/ac900231w, 10.1016/0009-8981(90)90201-3, 10.1038/bjc.1993.91, 10.1006/bbrc.1993.1516, 10.1111/j.1432-1033.1992.tb17090.x, 10.1016/s0021-9258(17)43832-4, 10.1007/bf00731362, 10.1074/mcp.M112.024018, 10.1016/S1044-0305(00)00122-7, 10.1016/S0021-9258(17)44262-1, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/1.1.45, 10.1042/bj3160427, 10.1159/000024447, 10.1016/s0021-9258(18)52290-0, 10.1042/bj2680529, 10.1007/bf00702201, 10.1002/pmic.201400038, 10.1021/bi00217a006, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1021/bi00415a038, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1093/glycob/9.3.227, 10.1021/acs.jproteome.9b00753, 10.1006/abbi.1993.1595, 10.1006/abbi.1994.1216, 10.1093/glycob/10.3.251, 10.1093/glycob/3.5.465, 10.1093/oxfordjournals.jbchem.a133680, 10.1111/j.1432-1033.1993.tb18020.x, 10.1046/j.1432-1327.1999.00572.x, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1016/0161-5890(91)90027-h, 10.1111/jth.14861, 10.1006/abio.1994.1050, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1016/s0021-9258(19)39283-x]
H5N3	8	[9606;Amnion, 9606;Seminal Fluid, 9606;Mammary Gland, 9823;Blood Plasma, 9913;Retina, 11197;Allantois, 9913;Mammary Gland, 9823;Kidney]	[10.1093/glycob/4.5.633, 10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1992.tb16776.x, 10.1021/ac4006556, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/11.10.791, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/6.6.611, 10.1093/glycob/7.1.67, 10.1074/mcp.RA120.002295, 10.1016/s0021-9258(18)50382-3, 10.1021/acs.analchem.8b01051, 10.1111/j.1432-1033.1990.tb15281.x, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/acs.jproteome.5b00756, 10.1084/jem.20142182, 10.1093/glycob/9.5.443, 10.1093/glycob/cwaa101, 10.1093/glycob/3.4.365, 10.1093/oxfordjournals.jbchem.a022707, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1074/jbc.M606711200, 10.1006/abbi.2001.2421, 10.1073/pnas.1320544111, 10.1021/acs.analchem.8b01137, 10.1007/s00216-014-8226-5, 10.1126/science.abb9983, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M504528200, 10.1016/s0166-6851(00)00310-8, 10.1021/ac900231w, 10.1093/glycob/11.4.261, 10.1038/s41592-021-01309-x, 10.4049/jimmunol.173.11.6831, 10.1046/j.1432-1033.2002.03244.x, 10.1038/s41598-021-84668-x, 10.1016/0014-5793(94)00547-8]
H5N3F1S1	1	[9606;Mammary Gland]	[10.1038/s41467-019-09222-w, 10.1074/jbc.M101013200, 10.1084/jem.20142182, 10.1074/mcp.M112.024018, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1038/s41598-018-20331-2, 10.1111/jth.14861, 10.1093/glycob/7.1.67, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1021/acs.jproteome.0c00702, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/pr900956x, 10.1038/s41598-021-84668-x, 10.1021/bi00223a015]
H5N6	1	[10116;Ovary]	[10.1038/s41467-019-09222-w, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1016/S1044-0305(00)00122-7, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1093/oxfordjournals.jbchem.a124273, 10.1681/ASN.2006040388, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1021/bi00067a029, 10.1016/0003-9861(90)90511-v]
H3N2F1	1	[10029;Ovary]	[10.1007/bf00731872, 10.1021/bi00464a020, 10.1074/jbc.271.43.26653, 10.1093/glycob/10.8.837, 10.1111/j.1432-1033.1993.tb17870.x, 10.1093/glycob/cwaa052, 10.1093/glycob/10.9.941, 10.1006/abio.1997.2463, 10.1074/mcp.RA120.002295, 10.1074/jbc.M100573200, 10.1023/a:1006999718552, 10.1023/a:1006915200989, 10.1074/jbc.275.16.11964, 10.1038/s41467-019-09222-w, 10.1093/glycob/9.5.443, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M511023200, 10.1093/glycob/11.4.261, 10.1016/j.jprot.2014.03.040, 10.1046/j.1432-1033.2002.03244.x, 10.1016/j.chom.2020.08.004, 10.1093/glycob/cwg023, 10.1038/s41598-021-84668-x, 10.1002/pro.5560030105, 10.1023/a:1018506208616, 10.1074/mcp.M112.024018, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1021/bi00195a022, 10.1093/oxfordjournals.jbchem.a003169, 10.1042/bj2780505, 10.1016/0008-6215(93)84261-4, 10.1007/bf00731703, 10.1021/bi00217a006, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1093/glycob/4.5.593, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1093/glycob/10.6.551, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.3.251, 10.1016/0042-6822(90)90095-9, 10.1111/j.1432-1033.1993.tb18020.x, 10.1074/jbc.272.14.9062, 10.1101/853036, 10.1016/s0304-4165(00)00128-8, 10.1111/j.1432-1033.1993.tb18022.x, 10.1111/j.1432-1033.1993.tb18321.x, 10.1021/acs.analchem.8b01137, 10.1007/s00425-003-1099-z, 10.1016/s0008-6215(99)00254-2, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1016/j.bbrc.2003.10.094, 10.1021/bi9918285, 10.1006/abbi.1994.1021, 10.1021/bi00225a019]
H5N5	7	[9606;Amnion, 9606;Spleen, 9606;Ovary, 11783;Lung, 10090;Urine, 9913;Mammary Gland, 9606;Placenta]	[10.1016/s0021-9258(19)50338-6, 10.1006/abbi.1995.1255, 10.1023/B:GLYC.0000038293.37376.9f, 10.1016/0305-0491(93)90056-b, 10.1016/s0021-9258(19)38919-7, 10.1007/bf00731292, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1016/0003-9861(90)90511-v, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/9.5.443, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1093/glycob/10.3.295, 10.1021/bi00210a019, 10.1016/j.jprot.2014.02.005, 10.1021/pr400714w, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M504528200, 10.1021/ac900231w, 10.1038/nmeth.1392, 10.18632/oncotarget.26005, 10.1038/bjc.1993.91, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1016/j.carres.2014.01.018, 10.1074/mcp.M112.024018, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1016/S1044-0305(00)00122-7, 10.1016/S0021-9258(17)44262-1, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1016/s0021-9258(18)52290-0, 10.1093/glycob/cwh031, 10.1042/bj2680529, 10.1007/bf00702201, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1021/acs.jproteome.9b00753, 10.1006/abbi.1993.1595, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1021/pr500575r, 10.1093/glycob/10.5.511, 10.1002/j.1460-2075.1985.tb03991.x, 10.4049/jimmunol.173.11.6831]
H5N7	3	[9606;Urine, 9913;Mammary Gland, 10090;Brain]	[10.1016/S1044-0305(00)00122-7, 10.1002/prca.201800061]
H6N5F3	1	[8649;Venom]	[10.1021/acs.jproteome.9b00753, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/pr5005482, 10.1023/a:1019640312730, 10.1021/acs.jproteome.8b00796, 10.1021/acs.analchem.8b01137]
H9N5	3	[9606;Milk, 9606;Urine, 10090;Brain]	[10.1074/jbc.M101380200, 10.1016/0003-9861(82)90550-1]
