Node	Occurrences	Present in network(s)	Cited in paper(s)
H1N2	18	[140;P01588, 91;P0DN86, 95;O02197, 339;P08575, 308;P07498, 520;Q14242, 355;P11279, 2957;P0DTC2, 138;D9N008, 318;P80195, 6;P14780, 669;O95998, 309;P02668, 113;P01190, 356;P13473, 88;P01215, 648;P02649, 289;P01563]	[10.1016/s0008-6215(00)90358-6, 10.1016/s0021-9258(18)90831-8, 10.7150/thno.65398, 10.1016/0003-9861(76)90105-3, 10.1093/glycob/5.1.137, 10.1016/s0021-9258(18)34849-x, 10.1016/s0021-9258(17)39854-x, 10.1074/jbc.M804925200, 10.1042/BJ20020371, 10.1007/978-1-4615-9254-9/55, 10.1016/0167-4838(83)90128-0, 10.1021/bi00141a028, 10.1006/abio.1997.2193, 10.1016/0003-9861(76)90488-4, 10.1046/j.1432-1327.1998.2580603.x, 10.1016/s0014-5793(03)01183-9, 10.1007/bf00249697, 10.1016/s0021-9258(17)39465-6, 10.1042/0264-6021:3630457, 10.1073/pnas.2635507100, 10.1074/mcp.M114.040865, 10.1111/j.1432-1033.1981.tb06188.x, 10.1046/j.1432-1327.1999.00544.x, 10.1093/glycob/7.6.777, 10.1111/j.1432-1033.1989.tb14810.x, 10.1111/j.1432-1033.1985.tb08848.x, 10.1023/a:1006987315827, 10.1111/j.1432-1033.1982.tb06831.x, 10.1016/s0021-9258(19)85535-7, 10.1074/mcp.M111.013649, 10.1021/bi00750a018, 10.1111/j.1432-1033.1982.tb06832.x, 10.1111/j.1432-1033.1986.tb09649.x, 10.1111/j.1432-1033.1988.tb13834.x, 10.1093/glycob/2.4.299, 10.1111/j.1432-1033.1988.tb13835.x, 10.1042/bj3210879, 10.1016/s0021-9258(17)46696-8, 10.1042/bj3300469, 10.1111/j.1432-1033.1994.tb18762.x, 10.1046/j.1432-1327.1999.00862.x, 10.1111/jth.14861, 10.1021/acs.analchem.1c00893, 10.1111/j.1432-1033.1993.tb17978.x, 10.1093/glycob/11.8.633, 10.1111/j.1432-1033.1986.tb09482.x, 10.1016/j.chom.2020.08.004, 10.1021/acs.jproteome.1c00219, 10.1016/s0021-9258(17)36284-1, 10.1042/bj2790095, 10.1093/glycob/11.6.459, 10.1016/s0021-9258(17)35982-3, 10.1074/jbc.272.43.27025, 10.1111/j.1432-1033.1992.tb19855.x]
H1N1	3	[550;P01833, 153;Q09163, 343;P01130]	[10.1016/s0008-6215(00)90358-6, 10.1016/s0008-6215(00)82679-8, 10.1016/s0304-4165(98)00114-7, 10.1021/pr300963h, 10.1074/jbc.273.51.34087, 10.1021/bi00022a012, 10.1046/j.1432-1327.1998.2510288.x, 10.1007/s10719-006-6693-4, 10.1074/jbc.M804925200, 10.1042/BJ20020371, 10.1016/0003-9861(85)90097-9, 10.1042/bj2760511, 10.1093/glycob/cwaa042, 10.1021/bi035278t, 10.1021/bi00141a028, 10.1016/s0166-6851(02)00245-1, 10.1016/s0021-9258(17)34670-7, 10.1021/acs.analchem.0c01794, 10.1111/j.1432-1033.1994.00467.x, 10.1074/jbc.273.37.23698, 10.1023/a:1018577302255, 10.1006/abio.1999.4466, 10.1006/abio.1999.4244, 10.1093/glycob/11.1.47, 10.1021/bi00225a019, 10.1006/abbi.1997.0143, 10.1074/jbc.273.24.14982, 10.1093/glycob/2.4.345, 10.1007/BF01049269, 10.1021/bi961075b, 10.1074/mcp.M114.040865, 10.1111/j.1432-1033.1981.tb06188.x, 10.1046/j.1365-2958.1998.00706.x, 10.1074/jbc.270.13.7241, 10.1111/j.1432-1033.1981.tb05545.x, 10.1016/0014-5793(79)80251-3, 10.1111/j.1432-1033.1982.tb06831.x, 10.1023/a:1006973802139, 10.1177/00220345850640010601, 10.1074/jbc.271.52.33325, 10.1016/S0021-9258(17)42198-3, 10.1016/s0021-9258(19)85535-7, 10.1016/0304-4165(84)90317-9, 10.1042/bj3220049, 10.1074/jbc.271.31.18732, 10.1093/glycob/2.4.355, 10.1021/bi001367j, 10.1111/j.1432-1033.1986.tb09649.x, 10.1016/0304-4165(88)90169-9, 10.1042/bj3210879, 10.1021/bi002738z, 10.1042/bj3300469, 10.1016/s0003-2697(05)80034-x, 10.1093/oxfordjournals.jbchem.a132797, 10.1006/viro.1994.1124, 10.1021/bi00341a029, 10.1111/jth.14861, 10.1016/s0008-6215(00)83662-9, 10.1021/acs.analchem.1c00893, 10.1046/j.1432-1327.1999.00572.x, 10.1074/mcp.M900211-MCP200, 10.1016/s0021-9258(19)86786-8, 10.1016/s0021-9258(19)89195-0, 10.1042/bj2790095, 10.1038/s41592-021-01309-x, 10.1016/s0021-9258(19)85732-0, 10.1093/glycob/11.6.459, 10.1074/jbc.272.43.27025, 10.1111/j.1432-1033.1993.tb17732.x, 10.1016/s0021-9258(19)86442-6, 10.1074/jbc.274.20.13752, 10.1016/S0021-9258(17)44263-3, 10.1021/pr200608q, 10.1021/bi9524880, 10.1016/0003-9861(76)90105-3, 10.1021/bi00123a012, 10.1016/s0021-9258(18)34849-x, 10.1016/s0021-9258(17)39854-x, 10.1016/s0021-9258(17)44263-3, 10.1111/j.1432-1033.1996.00431.x, 10.1007/978-1-4615-9254-9/55, 10.1074/jbc.270.45.27244, 10.1074/jbc.M102150200, 10.1016/0014-5793(95)01444-6, 10.1093/glycob/1.1.45, 10.3390/v13040551, 10.1074/jbc.272.18.11928, 10.1074/jbc.M205152200, 10.1016/0003-9861(76)90488-4, 10.1038/378032a0, 10.1046/j.1432-1327.1998.2580603.x, 10.1038/nprot.2012.062, 10.1016/j.chroma.2014.10.046, 10.1016/s0021-9258(18)47515-1, 10.1074/jbc.273.4.2260, 10.1016/s0021-9258(19)40203-2, 10.1006/abbi.1999.1637, 10.1006/abbi.1993.1322, 10.1073/pnas.2635507100, 10.3891/acta.chem.scand.29b-0703, 10.1016/0304-4165(84)90030-8, 10.1074/mcp.M114.047381, 10.4049/jimmunol.173.11.6831, 10.1093/glycob/3.5.465, 10.1111/j.1432-1033.1993.tb18022.x, 10.1023/a:1006987315827, 10.1111/j.1432-1033.1985.tb08848.x, 10.1016/s0021-9258(19)57280-5, 10.1016/0304-4165(87)90229-7, 10.1042/bst0171034, 10.1074/mcp.M111.013649, 10.1046/j.1432-1327.1999.00823.x, 10.1016/s0021-9258(19)47122-6, 10.1016/0008-6215(93)84201-g, 10.1021/bi00750a018, 10.1093/glycob/8.11.1053, 10.1021/ac4006556, 10.1016/s0021-9258(17)37723-2, 10.1093/glycob/2.4.299, 10.1111/j.1432-1033.1988.tb13834.x, 10.18632/oncotarget.26005, 10.1021/pr900956x, 10.1016/s0021-9258(17)46696-8, 10.1074/jbc.M202921200, 10.1046/j.1432-1327.1999.00862.x, 10.1016/s0021-9258(18)67162-5, 10.1093/glycob/11.8.633, 10.1111/j.1432-1033.1986.tb09482.x, 10.1016/j.chom.2020.08.004, 10.1021/acs.jproteome.1c00219, 10.1021/bi972612a, 10.1007/BF02778058, 10.1016/s0021-9258(17)35982-3, 10.1016/0006-291x(91)91028-b, 10.1016/0005-2795(75)90046-x, 10.1074/jbc.272.4.2156, 10.1111/j.1432-1033.1980.tb04743.x, 10.1038/nmeth.1392]
H3N2	6	[374;Q99102, 6;P14780, 339;P08575, 579;P35253, 374;P15941, 363;Q14596]	[10.18632/oncotarget.26005, 10.1021/acs.jproteome.1c00219, 10.1006/abbi.1997.0143, 10.1073/pnas.2635507100, 10.1111/j.1432-1033.1994.tb18762.x, 10.1074/jbc.275.11.7731, 10.1016/s0021-9258(17)42926-7, 10.1111/j.1432-1033.1980.tb04743.x, 10.1111/j.1432-1033.1993.tb17978.x, 10.1016/0304-4165(81)90260-9, 10.1111/j.1432-1033.1994.00467.x]
H3N4	3	[613;P07911, 230;P01876, 339;P08575]	[10.1021/acs.jproteome.1c00219, 10.1016/s0021-9258(17)36284-1]
H2N2F1S1	1	[711;Q14624]	[10.1177/00220345850640010601, 10.1016/s0021-9258(17)47263-2, 10.7150/thno.65398, 10.1016/s0021-9258(18)67163-7, 10.1039/c9mo00160c, 10.1007/s00018-020-03504-z, 10.1111/j.1432-1033.1988.tb14394.x, 10.1093/glycob/4.2.203, 10.1111/j.1432-1033.1984.tb08489.x, 10.1021/ac4006556, 10.1111/j.1432-1033.1987.tb13387.x, 10.1021/bi001367j, 10.1021/bi00141a028, 10.1111/j.1432-1033.1989.tb14853.x, 10.1093/glycob/7.8.1129, 10.1111/j.1432-1033.1985.tb09204.x, 10.18632/oncotarget.26005, 10.1016/s0021-9258(17)46696-8, 10.1042/bst021057s, 10.1111/jth.14861, 10.1021/acs.analchem.1c00893, 10.1016/s0014-5793(03)01183-9, 10.1016/s0021-9258(17)42926-7, 10.1093/glycob/11.8.633, 10.1021/bi972612a, 10.1021/acs.jproteome.1c00219, 10.1016/s0008-6215(00)90008-9, 10.1093/glycob/11.6.459, 10.1007/bf01189075, 10.1046/j.1432-1327.1999.00544.x, 10.1093/glycob/7.6.777, 10.1016/s0021-9258(18)61403-6, 10.1042/bj3500805]
H3N6	1	[685;P41222]	[10.1016/s0021-9258(17)39465-6]
H3N4F1	1	[6;P14780]	[10.18632/oncotarget.26005, 10.1111/j.1432-1033.1991.tb15997.x, 10.1016/s0021-9258(18)90832-x, 10.1016/s0021-9258(17)35982-3]
H1F1	1	[96;P00740]	[10.1016/0003-9861(68)90233-6, 10.1074/jbc.M008073200, 10.1016/s0021-9258(18)43368-6, 10.1016/s0021-9258(19)41182-4]
H2N2F1	2	[550;P01833, 613;P07911]	[10.1016/s0021-9258(17)43227-3, 10.1016/s0021-9258(18)34924-x, 10.1007/BF01049270, 10.1016/0003-9861(76)90105-3, 10.1093/glycob/5.1.137, 10.1042/BJ20020371, 10.1016/0167-4838(83)90128-0, 10.1021/bi00141a028, 10.1111/j.1432-1033.1985.tb09204.x, 10.1016/0008-6215(88)84039-4, 10.1006/abio.1997.2193, 10.1111/j.1432-1033.1994.00467.x, 10.1093/glycob/4.5.605, 10.1042/bst021057s, 10.1021/bi00273a039, 10.1016/0003-9861(76)90488-4, 10.1016/s0014-5793(03)01183-9, 10.1016/0008-6215(91)80056-s, 10.1007/bf00249697, 10.1016/0008-6215(90)80166-z, 10.1042/0264-6021:3630457, 10.1021/bi00297a022, 10.1007/BF01049269, 10.1016/0304-4165(84)90030-8, 10.1046/j.1432-1327.1999.00544.x, 10.1111/j.1432-1033.1989.tb14810.x, 10.1093/glycob/7.6.777, 10.1111/j.1432-1033.1982.tb06831.x, 10.1074/mcp.M111.013649, 10.1046/j.1432-1327.1999.00823.x, 10.1016/0304-4165(84)90317-9, 10.1111/j.1432-1033.1984.tb08363.x, 10.1016/s0021-9258(18)67163-7, 10.1007/s00018-020-03504-z, 10.1021/bi00750a018, 10.1042/bj3520449, 10.1021/ac4006556, 10.1111/j.1432-1033.1989.tb14853.x, 10.1111/j.1432-1033.1988.tb13834.x, 10.18632/oncotarget.26005, 10.1016/s0021-9258(17)46696-8, 10.1074/jbc.M202921200, 10.1021/bi00341a029, 10.1021/acs.analchem.1c00893, 10.1016/0167-4838(82)90314-4, 10.1046/j.1432-1327.1999.00572.x, 10.1111/j.1432-1033.1987.tb13403.x, 10.1016/s0021-9258(17)42926-7, 10.1093/glycob/11.8.633, 10.1111/j.1432-1033.1986.tb09482.x, 10.1111/j.1432-1033.1992.tb17135.x, 10.1021/acs.jproteome.1c00219, 10.1093/glycob/11.6.459, 10.1111/j.1432-1033.1992.tb19855.x]
H1N2S1	13	[635;P20239, 340;P16150, 559;P02768, 96;P00740, 22;P12763, 711;Q14624, 90;P08751, 418;Q8TAX7, 760;P01344, 176;P07359, 635;Q62005, 749;P05155, 651;P0C0L4]	[10.1016/0014-5793(90)81531-r, 10.1046/j.1432-1327.1998.2520253.x, 10.1016/s0021-9258(18)90831-8, 10.7150/thno.65398, 10.1016/0304-4165(81)90480-3, 10.1016/s0021-9258(18)34849-x, 10.1111/j.1432-1033.1988.tb14394.x, 10.1093/glycob/4.2.203, 10.1007/s00018-020-03504-z, 10.1111/j.1432-1033.1987.tb13387.x, 10.1021/bi00141a028, 10.1006/bbrc.1999.0872, 10.1111/j.1432-1033.1992.tb17132.x, 10.1016/s0008-6215(01)00301-9, 10.1016/s0021-9258(17)46696-8, 10.1016/s0008-6215(97)10074-x, 10.1111/j.1432-1033.1985.tb08628.x, 10.1111/jth.14861, 10.1016/j.chroma.2014.10.046, 10.1021/acs.analchem.1c00893, 10.1093/glycob/11.8.633, 10.1016/j.chom.2020.08.004, 10.1016/s0021-9258(17)39465-6, 10.1021/acs.jproteome.8b00796, 10.1021/acs.jproteome.1c00219, 10.1073/pnas.2635507100, 10.1016/s0021-9258(17)36284-1, 10.1038/s41592-021-01309-x, 10.1007/bf01189075, 10.1016/s0021-9258(17)44261-x, 10.1046/j.1432-1327.1999.00544.x, 10.1111/j.1432-1033.1989.tb14810.x, 10.1074/jbc.272.43.27025, 10.1016/0300-9084(92)90182-e, 10.1042/bj3500805, 10.1073/pnas.78.2.747, 10.1023/a:1006987315827]
H2N4F1	2	[613;P07911, 79;P13987]	[10.1016/s0021-9258(17)39465-6, 10.1042/0264-6021:3630457, 10.1093/glycob/7.8.1129, 10.1007/bf00249697]
H2N2F2	1	[613;P07911]	[10.1016/s0021-9258(18)34924-x, 10.1016/s0021-9258(18)90831-8, 10.1177/00220345850640010601, 10.1093/glycob/5.1.137, 10.1111/j.1432-1033.1984.tb08363.x, 10.1007/s00018-020-03504-z, 10.1042/BJ20020371, 10.1021/bi00750a018, 10.1042/bj3520449, 10.1016/0167-4838(83)90128-0, 10.1021/bi00141a028, 10.1111/j.1432-1033.1985.tb09204.x, 10.1016/s0008-6215(01)00301-9, 10.1111/j.1432-1033.1988.tb13834.x, 10.1006/abio.1997.2193, 10.1042/bj3210879, 10.1016/s0021-9258(17)46696-8, 10.18632/oncotarget.26005, 10.1074/jbc.M202921200, 10.1093/glycob/11.8.633, 10.1111/j.1432-1033.1986.tb09482.x, 10.1021/acs.jproteome.1c00219, 10.1042/bj2790095, 10.1016/0304-4165(84)90030-8, 10.1016/0008-6215(88)80068-5, 10.1074/jbc.272.43.27025, 10.1093/glycob/7.6.777, 10.1111/j.1432-1033.1992.tb19855.x]
H1N2S2	7	[641;Q9GZM5, 186;P14220, 91;P0DN86, 339;P08575, 809;Q99075, 2960;P01860, 2959;P01860]	[10.1042/bj2320813, 10.1016/s0021-9258(17)39465-6, 10.1021/acs.jproteome.1c00219, 10.1016/s0021-9258(17)36284-1, 10.1111/j.1432-1033.1985.tb08628.x, 10.1111/j.1432-1033.1989.tb14810.x, 10.1016/s0021-9258(18)32234-8, 10.1007/s00018-020-03504-z]

